id;name;grande_comando;estado;pais;
1;SERIPA I;CENIPA;PA;BRASIL;
2;COMARA;COMGAP SP;PA;BRASIL;
3;DT-INFRA BE;COMGAP SP;PA;BRASIL;
4;ES-AK;COMGEP;MA;BRASIL;
5;ETRB;COMGEP;PA;BRASIL;
6;HABE;COMGEP;PA;BRASIL;
7;SEREP-BE;COMGEP;PA;BRASIL;
8;1 ETA;COMPREP;PA;BRASIL;
9;3/7 GAV;COMPREP;PA;BRASIL;
10;ALA 9;COMPREP;PA;BRASIL;
11;BABE;COMPREP;PA;BRASIL;
12;BINFAE BE;COMPREP;PA;BRASIL;
13;GSD-BE;COMPREP;PA;BRASIL;
14;I COMAR;COMPREP;PA;BRASIL;
15;CLA;DCTA;MA;BRASIL;
16;DTCEA-AA;DECEA;PA;BRASIL;
17;DTCEA-BE;DECEA;PA;BRASIL;
18;DTCEA-CC;DECEA;PA;BRASIL;
19;DTCEA-EK;DECEA;PA;BRASIL;
20;DTCEA-FX;DECEA;PA;BRASIL;
21;DTCEA-IZ;DECEA;MA;BRASIL;
22;DTCEA-MQ;DECEA;AP;BRASIL;
23;DTCEA-SL;DECEA;MA;BRASIL;
24;DTCEA-SN;DECEA;PA;BRASIL;
25;8 CJM;GABAER;PA;BRASIL;
26;GAP AK;SEFA;MA;BRASIL;
27;GAP BE;SEFA;PA;BRASIL;
28;PAAK;SEFA;MA;BRASIL;
29;PABE;SEFA;PA;BRASIL;
30;1VF/PA;-;PA;BRASIL;
31;2VF/PA;-;PA;BRASIL;
32;ECE;-;MA;BRASIL;
33;SERIPA II;CENIPA;PE;BRASIL;
34;CO-NT;COMGAP SP;RN;BRASIL;
35;DT-INFRA NT;COMGAP SP;RN;BRASIL;
36;DT-INFRA RF;COMGAP SP;PE;BRASIL;
37;NUPAMA RF;COMGAP SP;PE;BRASIL;
38;PAMA RF;COMGAP SP;PE;BRASIL;
39;ES-FZ;COMGEP;CE;BRASIL;
40;ES-NT;COMGEP;RN;BRASIL;
41;ES-SV;COMGEP;BA;BRASIL;
42;HARF;COMGEP;PE;BRASIL;
43;OARF;COMGEP;PE;BRASIL;
44;SEREP-RF;COMGEP;PE;BRASIL;
45;1/5 GAV;COMPREP;RN;BRASIL;
46;1/8 GAV NT;COMPREP;RN;BRASIL;
47;1/11 GAV;COMPREP;RN;BRASIL;
48;2 ETA;COMPREP;RN;BRASIL;
49;2/5 GAV;COMPREP;RN;BRASIL;
50;ALA 10;COMPREP;RN;BRASIL;
51;BANT;COMPREP;RN;BRASIL;
52;CMS;COMPREP;BA;BRASIL;
53;DEF PUB BA;COMPREP;BA;BRASIL;
54;EIE;COMPREP;PE;BRASIL;
55;GITE;COMPREP;RN;BRASIL;
56;I FAE;COMPREP;RN;BRASIL;
57;CLBI;DCTA;RN;BRASIL;
58;3/1 GCC;DECEA;RN;BRASIL;
59;BARF;DECEA;PE;BRASIL;
60;BINFAE RF;DECEA;PE;BRASIL;
61;CINDACTA III;DECEA;PE;BRASIL;
62;DTCEA-AR;DECEA;SE;BRASIL;
63;DTCEA-FN;DECEA;PE;BRASIL;
64;DTCEA-FZ;DECEA;CE;BRASIL;
65;DTCEA-LP;DECEA;BA;BRASIL;
66;DTCEA-MO;DECEA;AL;BRASIL;
67;DTCEA-NT;DECEA;RN;BRASIL;
