name;grande_comando;estado;pais;
SERIPA I;CENIPA;PA;BRASIL;
COMARA;COMGAP SP;PA;BRASIL;
DT-INFRA BE;COMGAP SP;PA;BRASIL;
ES-AK;COMGEP;MA;BRASIL;
ETRB;COMGEP;PA;BRASIL;
HABE;COMGEP;PA;BRASIL;
SEREP-BE;COMGEP;PA;BRASIL;
1 ETA;COMPREP;PA;BRASIL;
3/7 GAV;COMPREP;PA;BRASIL;
ALA 9;COMPREP;PA;BRASIL;
BABE;COMPREP;PA;BRASIL;
BINFAE BE;COMPREP;PA;BRASIL;
GSD-BE;COMPREP;PA;BRASIL;
I COMAR;COMPREP;PA;BRASIL;
CLA;DCTA;MA;BRASIL;
DTCEA-AA;DECEA;PA;BRASIL;
DTCEA-BE;DECEA;PA;BRASIL;
DTCEA-CC;DECEA;PA;BRASIL;
DTCEA-EK;DECEA;PA;BRASIL;
DTCEA-FX;DECEA;PA;BRASIL;
DTCEA-IZ;DECEA;MA;BRASIL;
DTCEA-MQ;DECEA;AP;BRASIL;
DTCEA-SL;DECEA;MA;BRASIL;
DTCEA-SN;DECEA;PA;BRASIL;
8 CJM;GABAER;PA;BRASIL;
GAP AK;SEFA;MA;BRASIL;
GAP BE;SEFA;PA;BRASIL;
PAAK;SEFA;MA;BRASIL;
PABE;SEFA;PA;BRASIL;
1VF/PA;-;PA;BRASIL;
2VF/PA;-;PA;BRASIL;
ECE;-;MA;BRASIL;
SERIPA II;CENIPA;PE;BRASIL;
CO-NT;COMGAP SP;RN;BRASIL;
DT-INFRA NT;COMGAP SP;RN;BRASIL;
DT-INFRA RF;COMGAP SP;PE;BRASIL;
NUPAMA RF;COMGAP SP;PE;BRASIL;
PAMA RF;COMGAP SP;PE;BRASIL;
ES-FZ;COMGEP;CE;BRASIL;
ES-NT;COMGEP;RN;BRASIL;
ES-SV;COMGEP;BA;BRASIL;
HARF;COMGEP;PE;BRASIL;
OARF;COMGEP;PE;BRASIL;
SEREP-RF;COMGEP;PE;BRASIL;
1/5 GAV;COMPREP;RN;BRASIL;
1/8 GAV NT;COMPREP;RN;BRASIL;
1/11 GAV;COMPREP;RN;BRASIL;
2 ETA;COMPREP;RN;BRASIL;
2/5 GAV;COMPREP;RN;BRASIL;
ALA 10;COMPREP;RN;BRASIL;
BANT;COMPREP;RN;BRASIL;
CMS;COMPREP;BA;BRASIL;
DEF PUB BA;COMPREP;BA;BRASIL;
EIE;COMPREP;PE;BRASIL;
GITE;COMPREP;RN;BRASIL;
I FAE;COMPREP;RN;BRASIL;
CLBI;DCTA;RN;BRASIL;
3/1 GCC;DECEA;RN;BRASIL;
BARF;DECEA;PE;BRASIL;
BINFAE RF;DECEA;PE;BRASIL;
CINDACTA III;DECEA;PE;BRASIL;
DTCEA-AR;DECEA;SE;BRASIL;
DTCEA-FN;DECEA;PE;BRASIL;
DTCEA-FZ;DECEA;CE;BRASIL;
DTCEA-LP;DECEA;BA;BRASIL;
DTCEA-MO;DECEA;AL;BRASIL;
DTCEA-NT;DECEA;RN;BRASIL;
DTCEA-PL;DECEA;PE;BRASIL;
DTCEA-PS;DECEA;BA;BRASIL;
DTCEA-RF;DECEA;PE;BRASIL;
DTCEA-SV;DECEA;BA;BRASIL;
GSD-RF;DECEA;PE;BRASIL;
II COMAR;DECEA;PE;BRASIL;
AUD/7¶CJM/RF;EMAER;PE;BRASIL;
6 CJM;GABAER;BA;BRASIL;
7 CJM;GABAER;PE;BRASIL;
10 CJM;GABAER;CE;BRASIL;
1/7 GAV;SEFA;BA;BRASIL;
BAFZ;SEFA;CE;BRASIL;
BASV;SEFA;BA;BRASIL;
GAP FZ;SEFA;CE;BRASIL;
GAP NT;SEFA;RN;BRASIL;
GAP RF;SEFA;PE;BRASIL;
GAP SV;SEFA;BA;BRASIL;
PANT;SEFA;RN;BRASIL;
PARF;SEFA;PE;BRASIL;
PASV;SEFA;BA;BRASIL;
8VF/CE;-;CE;BRASIL;
10VF/CE;-;CE;BRASIL;
10VF/PE;-;PE;BRASIL;
12VF/CE;-;CE;BRASIL;
12VF/PE;-;PE;BRASIL;
AUD/10CJM;-;CE;BRASIL;
CASSAS;-;BA;BRASIL;
CMFZ;-;CE;BRASIL;
CMRF;-;PE;BRASIL;
TRF5REGIAO;-;PE;BRASIL;
ASOCEA;ASOCEA;RJ;BRASIL;
SERIPA III;CENIPA;RJ;BRASIL;
COPE-S;COMAE;RJ;BRASIL;
CEPE;COMGAP SP;RJ;BRASIL;
